detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,BRIEF,9,13.024118,13.029729,0.00561
AKAZE,BRISK,8,13.124118,13.11725,0.006868
AKAZE,BRISK,2,12.614245,12.62663,0.012385
FAST,ORB,1,12.5156,12.501444,0.014156
BRISK,FREAK,17,9.546581,9.561059,0.014478
SIFT,BRISK,16,9.51617,9.500436,0.015734
ORB,SIFT,10,11.174641,11.138868,0.035773
AKAZE,BRISK,16,9.51617,9.55573,0.039561
ORB,ORB,3,14.091013,14.131278,0.040265
AKAZE,BRIEF,18,8.398803,8.356427,0.042376
FAST,BRISK,2,12.614245,12.656935,0.04269
SIFT,BRISK,10,11.174641,11.219103,0.044462
AKAZE,BRIEF,6,12.678716,12.633321,0.045395
BRISK,BRISK,10,11.174641,11.221304,0.046663
AKAZE,BRISK,11,12.808601,12.741964,0.066637
FAST,FREAK,16,9.51617,9.445306,0.070864
FAST,SIFT,6,12.678716,12.580726,0.09799
AKAZE,BRISK,18,8.398803,8.499307,0.100504
AKAZE,ORB,11,12.808601,12.705615,0.102986
FAST,SIFT,8,13.124118,13.230204,0.106086
AKAZE,ORB,8,13.124118,13.232141,0.108023
AKAZE,SIFT,2,12.614245,12.739366,0.125121
ORB,BRIEF,16,9.51617,9.641411,0.125241
AKAZE,ORB,17,9.546581,9.673491,0.12691
AKAZE,ORB,10,11.174641,11.045435,0.129206
BRISK,SIFT,3,14.091013,13.96049,0.130522
FAST,FREAK,2,12.614245,12.747208,0.132963
AKAZE,SIFT,18,8.398803,8.540101,0.141298
ORB,BRISK,2,12.614245,12.465481,0.148765
AKAZE,FREAK,17,9.546581,9.397548,0.149033
AKAZE,SIFT,11,12.808601,12.658708,0.149893
AKAZE,BRISK,1,12.5156,12.348347,0.167253
BRISK,FREAK,7,11.984351,11.793484,0.190867
SHITOMASI,FREAK,2,12.614245,12.419468,0.194778
AKAZE,ORB,6,12.678716,12.877825,0.199109
HARRIS,BRIEF,7,11.984351,12.2,0.215649
HARRIS,BRISK,7,11.984351,12.2,0.215649
